"","Correlation","Tissue","Gene","Protein"
"34",-0.0939112487100103,"Bladder","RBM39","Q14498;RBM39_HUMAN"
"35",0.20979020979021,"Bladder","RAB3GAP1","Q15042;RB3GP_HUMAN"
"36",0.374613003095975,"Bladder","CHCHD3","Q9NX63;MIC19_HUMAN"
"37",0.582352941176471,"Bladder","CAST","P20810;ICAL_HUMAN"
"38",0.906862745098039,"Bladder","DBN1","Q16643;DREB_HUMAN"
"39",0.191176470588235,"Bladder","COPB1","P53618;COPB_HUMAN"
"40",0.406593406593407,"Bladder","PKP4","Q99569;PKP4_HUMAN"
"41",0.6656346749226,"Bladder","PDHA1","P08559;ODPA_HUMAN"
"42",0.532352941176471,"Bladder","NAP1L4","Q99733;NP1L4_HUMAN"
"43",0.380804953560372,"Bladder","LMNB2","Q03252;LMNB2_HUMAN"
"44",0.729411764705882,"Bladder","MARCKSL1","P49006;MRP_HUMAN"
"45",-0.087719298245614,"Bladder","SND1","Q7KZF4;SND1_HUMAN"
"46",0.533539731682147,"Bladder","VCL","P18206;VINC_HUMAN"
"47",0.409700722394221,"Bladder","NDUFV2","P19404;NDUV2_HUMAN"
"48",0.110423116615067,"Bladder","IDH3B","O43837;IDH3B_HUMAN"
"49",0.593395252837977,"Bladder","AGRN","O00468;AGRIN_HUMAN"
"50",0.47781217750258,"Bladder","MTHFD2","P13995;MTDC_HUMAN"
"51",0.7,"Bladder","PFKL","P17858;PFKAL_HUMAN"
"52",0.688725490196079,"Bladder","CSE1L","P55060;XPO2_HUMAN"
"53",-0.258741258741259,"Bladder","PAXX","Q9BUH6;PAXX_HUMAN"
"54",-0.331868131868132,"Bladder","LCP1","P13796;PLSL_HUMAN"
"55",0.49264705882353,"Bladder","PFKP","Q01813;PFKAP_HUMAN"
"56",0.32843137254902,"Bladder","POP1","Q99575;POP1_HUMAN"
"57",0.634674922600619,"Bladder","AGK","Q53H12;AGK_HUMAN"
"58",0.137254901960784,"Bladder","TPM3","P06753;TPM3_HUMAN"
"59",0.479876160990712,"Bladder","NUMA1","Q14980;NUMA1_HUMAN"
"60",0.379411764705882,"Bladder","PACSIN2","Q9UNF0;PACN2_HUMAN"
"61",0.523529411764706,"Bladder","GRHPR","Q9UBQ7;GRHPR_HUMAN"
"62",0.760577915376677,"Bladder","GPD2","P43304;GPDM_HUMAN"
"63",0.323013415892673,"Bladder","CDC73","Q6P1J9;CDC73_HUMAN"
"64",0.190909090909091,"Bladder","DUSP3","P51452;DUS3_HUMAN"
"65",0.151702786377709,"Bladder","VDAC3","Q9Y277;VDAC3_HUMAN"
"66",0.236326109391125,"Bladder","WIZ","O95785;WIZ_HUMAN"
"67",0.18266253869969,"Bladder","PRPF3","O43395;PRPF3_HUMAN"
"68",0.13312693498452,"Bladder","CAND1","Q86VP6;CAND1_HUMAN"
"69",0.632610939112487,"Bladder","SIN3A","Q96ST3;SIN3A_HUMAN"
"70",0.706914344685243,"Bladder","TP53BP1","Q12888;TP53B_HUMAN"
"71",0.92156862745098,"Bladder","SCCPDH","Q8NBX0;SCPDL_HUMAN"
"72",0.170278637770898,"Bladder","SNW1","Q13573;SNW1_HUMAN"
"73",0.0278637770897833,"Bladder","S100A16","Q96FQ6;S10AG_HUMAN"
"74",0.564835164835165,"Bladder","UGDH","O60701;UGDH_HUMAN"
"75",0.393188854489164,"Bladder","AP2A1","O95782;AP2A1_HUMAN"
"76",0.86171310629515,"Bladder","RCN1","Q15293;RCN1_HUMAN"
"77",0.747549019607843,"Bladder","BCAT2","O15382;BCAT2_HUMAN"
"78",0.91124871001032,"Bladder","ALDH4A1","P30038;AL4A1_HUMAN"
"79",0.517482517482518,"Bladder","MISP","Q8IVT2;MISP_HUMAN"
"80",0.42827657378741,"Bladder","YBX1","P67809;YBOX1_HUMAN"
"81",0.302373581011352,"Bladder","AKAP8","O43823;AKAP8_HUMAN"
"82",0.32967032967033,"Bladder","CCDC137","Q6PK04;CC137_HUMAN"
"83",0.735294117647059,"Bladder","RFC1","P35251;RFC1_HUMAN"
"84",0.4,"Bladder","KNOP1","Q1ED39;KNOP1_HUMAN"
"85",0.360165118679051,"Bladder","TPR","P12270;TPR_HUMAN"
"86",0.472727272727273,"Bladder","MDN1","Q9NU22;MDN1_HUMAN"
"87",0.432142857142857,"Bladder","BASP1","P80723;BASP1_HUMAN"
"88",0.553571428571428,"Bladder","PRKRA","O75569;PRKRA_HUMAN"
"89",0.769230769230769,"Bladder","EPS8","Q12929;EPS8_HUMAN"
"90",0.725490196078431,"Bladder","PDIA5","Q14554;PDIA5_HUMAN"
"91",-0.178534571723426,"Bladder","DHX9","Q08211;DHX9_HUMAN"
"92",0.615384615384615,"Bladder","EVPL","Q92817;EVPL_HUMAN"
"93",0.262254901960784,"Bladder","PTMA","P06454;PTMA_HUMAN"
"94",0.581818181818182,"Bladder","WDR70","Q9NW82;WDR70_HUMAN"
"95",0.637362637362637,"Bladder","PTMS","P20962;PTMS_HUMAN"
"96",0.52734778121775,"Bladder","MTHFD1","P11586;C1TC_HUMAN"
"97",0.851393188854489,"Bladder","MARCKS","P29966;MARCS_HUMAN"
"98",0.578947368421053,"Bladder","HNRNPUL2","Q1KMD3;HNRL2_HUMAN"
"99",0.202797202797203,"Bladder","LAMB3","Q13751;LAMB3_HUMAN"
"100",0.68421052631579,"Bladder","LIMA1","Q9UHB6;LIMA1_HUMAN"
"101",0.732352941176471,"Bladder","SVIL","O95425;SVIL_HUMAN"
"102",0.608791208791209,"Bladder","FAM98B","Q52LJ0;FA98B_HUMAN"
"103",0.590686274509804,"Bladder","RBM28","Q9NW13;RBM28_HUMAN"
"104",0.415892672858617,"Bladder","XAB2","Q9HCS7;SYF1_HUMAN"
"105",0.248710010319917,"Bladder","SRP9","P49458;SRP09_HUMAN"
"106",-0.311764705882353,"Bladder","PFDN2","Q9UHV9;PFD2_HUMAN"
"107",0.242518059855521,"Bladder","PRPF6","O94906;PRP6_HUMAN"
"108",0.686274509803922,"Bladder","GOLGA2","Q08379;GOGA2_HUMAN"
"109",-0.281818181818182,"Bladder","IGBP1","P78318;IGBP1_HUMAN"
"110",0.747549019607843,"Bladder","KIF5B","P33176;KINH_HUMAN"
"111",0.394607843137255,"Bladder","TNKS1BP1","Q9C0C2;TB182_HUMAN"
"112",0.0712074303405573,"Bladder","FASN","P49327;FAS_HUMAN"
"113",0.180598555211558,"Bladder","RSL1D1","O76021;RL1D1_HUMAN"
"114",0.314757481940144,"Bladder","COPB2","P35606;COPB2_HUMAN"
"115",0.737745098039216,"Bladder","MDC1","Q14676;MDC1_HUMAN"
"116",0.6993006993007,"Bladder","SLC16A1","P53985;MOT1_HUMAN"
"117",0.34984520123839,"Bladder","NOLC1","Q14978;NOLC1_HUMAN"
"118",0.386996904024768,"Bladder","NDUFAF4","Q9P032;NDUF4_HUMAN"
"119",0.191208791208791,"Bladder","POLR1E","Q9GZS1;RPA49_HUMAN"
"120",-0.154545454545455,"Bladder","CLIP2","Q9UDT6;CLIP2_HUMAN"
"121",0.8328173374613,"Bladder","GALNT2","Q10471;GALT2_HUMAN"
"122",0.669762641898865,"Bladder","HDGFL2","Q7Z4V5;HDGR2_HUMAN"
"123",0.372727272727273,"Bladder","NECAP2","Q9NVZ3;NECP2_HUMAN"
"124",-0.0343137254901961,"Bladder","CAD","P27708;PYR1_HUMAN"
"125",0.0197802197802198,"Bladder","TIA1","P31483;TIA1_HUMAN"
"126",0.230134158926729,"Bladder","YWHAE","P62258;1433E_HUMAN"
"127",0.356037151702786,"Bladder","GOLGA4","Q13439;GOGA4_HUMAN"
"128",0.700722394220846,"Bladder","LMAN1","P49257;LMAN1_HUMAN"
"129",0.56656346749226,"Bladder","MYDGF","Q969H8;MYDGF_HUMAN"
"130",0.843137254901961,"Bladder","CPT1A","P50416;CPT1A_HUMAN"
"131",0.230134158926729,"Bladder","SRRM2","Q9UQ35;SRRM2_HUMAN"
"132",0.331269349845201,"Bladder","SDHA","P31040;SDHA_HUMAN"
"133",0.48813209494324,"Bladder","LGALS3BP","Q08380;LG3BP_HUMAN"
"134",0.65531475748194,"Bladder","AARS2","Q5JTZ9;SYAM_HUMAN"
"135",0.065015479876161,"Bladder","NUP133","Q8WUM0;NU133_HUMAN"
"136",0.659442724458204,"Bladder","AKAP1","Q92667;AKAP1_HUMAN"
"137",0.47781217750258,"Bladder","DDX42","Q86XP3;DDX42_HUMAN"
"138",0.188854489164087,"Bladder","IK","Q13123;RED_HUMAN"
"139",0.547987616099071,"Bladder","CCDC124","Q96CT7;CC124_HUMAN"
"140",0.25077399380805,"Bladder","MRTO4","Q9UKD2;MRT4_HUMAN"
"141",0.352941176470588,"Bladder","SRM","P19623;SPEE_HUMAN"
"142",0.591331269349845,"Bladder","ITGA3","P26006;ITA3_HUMAN"
"143",0.525283797729618,"Bladder","SMARCD2","Q92925;SMRD2_HUMAN"
"144",0.510489510489511,"Bladder","CNOT3","O75175;CNOT3_HUMAN"
"145",0.582417582417582,"Bladder","CRYBG1","Q9Y4K1;CRBG1_HUMAN"
"146",0.102167182662539,"Bladder","BAG6","P46379;BAG6_HUMAN"
"147",0.0897832817337461,"Bladder","FARSB","Q9NSD9;SYFB_HUMAN"
"148",0.147058823529412,"Bladder","RIDA","P52758;RIDA_HUMAN"
"149",0.543859649122807,"Bladder","KTN1","Q86UP2;KTN1_HUMAN"
"150",0.858823529411765,"Bladder","TACSTD2","P09758;TACD2_HUMAN"
"151",0.194117647058824,"Bladder","DHX16","O60231;DHX16_HUMAN"
"152",0.311274509803922,"Bladder","GART","P22102;PUR2_HUMAN"
"153",0.329205366357069,"Bladder","RRP1","P56182;RRP1_HUMAN"
"154",0.132142857142857,"Bladder","GOLPH3","Q9H4A6;GOLP3_HUMAN"
"155",0.256965944272446,"Bladder","DDX1","Q92499;DDX1_HUMAN"
"156",0.472527472527473,"Bladder","KIAA2013","Q8IYS2;K2013_HUMAN"
"157",0.108359133126935,"Bladder","LRRC47","Q8N1G4;LRC47_HUMAN"
"158",0.455108359133127,"Bladder","LAP3","P28838;AMPL_HUMAN"
"159",0.552115583075335,"Bladder","CDC5L","Q99459;CDC5L_HUMAN"
"160",0.572727272727273,"Bladder","ADSL","P30566;PUR8_HUMAN"
"161",0.17234262125903,"Bladder","SF3B1","O75533;SF3B1_HUMAN"
"162",0.455882352941176,"Bladder","TARS2","Q9BW92;SYTM_HUMAN"
"163",0.785714285714286,"Bladder","TOMM34","Q15785;TOM34_HUMAN"
"164",0.846153846153846,"Bladder","MACROD1","Q9BQ69;MACD1_HUMAN"
"165",-0.120743034055728,"Bladder","PSMB1","P20618;PSB1_HUMAN"
"166",0.388235294117647,"Bladder","RPA1","P27694;RFA1_HUMAN"
"167",0.325077399380805,"Bladder","FLNB","O75369;FLNB_HUMAN"
"168",0.0909090909090909,"Bladder","ASPSCR1","Q9BZE9;ASPC1_HUMAN"
"169",-0.254901960784314,"Bladder","MRPL2","Q5T653;RM02_HUMAN"
"170",0.30030959752322,"Bladder","PTPRF","P10586;PTPRF_HUMAN"
"171",0.279669762641899,"Bladder","KPNB1","Q14974;IMB1_HUMAN"
"172",-0.196428571428571,"Bladder","RPLP1","P05386;RLA1_HUMAN"
"173",0.516483516483517,"Bladder","HSPG2","P98160;PGBM_HUMAN"
"174",0.574819401444788,"Bladder","RUVBL2","Q9Y230;RUVB2_HUMAN"
"175",0.375,"Bladder","DUT","P33316;DUT_HUMAN"
"176",0.485714285714286,"Bladder","IPO4","Q8TEX9;IPO4_HUMAN"
"177",0.510989010989011,"Bladder","IRGQ","Q8WZA9;IRGQ_HUMAN"
"178",0.494505494505495,"Bladder","STXBP2","Q15833;STXB2_HUMAN"
"179",0.719298245614035,"Bladder","MYO1B","O43795;MYO1B_HUMAN"
"180",0.287925696594427,"Bladder","PA2G4","Q9UQ80;PA2G4_HUMAN"
"181",0.436532507739938,"Bladder","CCT2","P78371;TCPB_HUMAN"
"182",0.408823529411765,"Bladder","GNAS","Q5JWF2;GNAS1_HUMAN"
"183",0.325077399380805,"Bladder","SMU1","Q2TAY7;SMU1_HUMAN"
"184",-0.00309597523219814,"Bladder","RBM14","Q96PK6;RBM14_HUMAN"
"185",0.607843137254902,"Bladder","TAF15","Q92804;RBP56_HUMAN"
"186",0.281733746130031,"Bladder","FUS","P35637;FUS_HUMAN"
"187",0.0647058823529412,"Bladder","SRP68","Q9UHB9;SRP68_HUMAN"
"188",-0.0381836945304438,"Bladder","TOP2A","P11388;TOP2A_HUMAN"
"189",0.727941176470588,"Bladder","TDRKH","Q9Y2W6;TDRKH_HUMAN"
"190",0.245098039215686,"Bladder","EEA1","Q15075;EEA1_HUMAN"
"191",0.843137254901961,"Bladder","RRBP1","Q9P2E9;RRBP1_HUMAN"
"192",0.286713286713287,"Bladder","PRMT5","O14744;ANM5_HUMAN"
"193",0.405594405594406,"Bladder","EXOC3","O60645;EXOC3_HUMAN"
"194",0.663636363636364,"Bladder","PARD3","Q8TEW0;PARD3_HUMAN"
"195",0.443627450980392,"Bladder","PAICS","P22234;PUR6_HUMAN"
"196",-0.120588235294118,"Bladder","NUTF2","P61970;NTF2_HUMAN"
"197",0.6656346749226,"Bladder","HSDL2","Q6YN16;HSDL2_HUMAN"
"198",0.118679050567595,"Bladder","MTREX","P42285;MTREX_HUMAN"
"199",0.215686274509804,"Bladder","PSME1","Q06323;PSME1_HUMAN"
"200",0.671826625386997,"Bladder","FKBP4","Q02790;FKBP4_HUMAN"
"201",0.118679050567595,"Bladder","RPL11","P62913;RL11_HUMAN"
"202",0.646428571428571,"Bladder","CARS2","Q9HA77;SYCM_HUMAN"
"203",0.300699300699301,"Bladder","EML4","Q9HC35;EMAL4_HUMAN"
"204",0.314285714285714,"Bladder","DPYSL2","Q16555;DPYL2_HUMAN"
"205",0.342657342657343,"Bladder","CDK2","P24941;CDK2_HUMAN"
"206",0.126373626373626,"Bladder","AHNAK2","Q8IVF2;AHNK2_HUMAN"
"207",0.907120743034056,"Bladder","NAPA","P54920;SNAA_HUMAN"
"208",0.583333333333333,"Bladder","CMAS","Q8NFW8;NEUA_HUMAN"
"209",0.283797729618163,"Bladder","SHMT2","P34897;GLYM_HUMAN"
"210",-0.0588235294117647,"Bladder","TBL3","Q12788;TBL3_HUMAN"
"211",0.27141382868937,"Bladder","CELF1","Q92879;CELF1_HUMAN"
"212",0.496388028895769,"Bladder","MRPL12","P52815;RM12_HUMAN"
"213",0.889285714285714,"Bladder","KRT19","P08727;K1C19_HUMAN"
"214",-0.30989010989011,"Bladder","SIPA1","Q96FS4;SIPA1_HUMAN"
"215",0.232198142414861,"Bladder","SMARCC1","Q92922;SMRC1_HUMAN"
"216",0.622291021671827,"Bladder","XRN2","Q9H0D6;XRN2_HUMAN"
"217",0.560714285714286,"Bladder","HEBP1","Q9NRV9;HEBP1_HUMAN"
"218",0.3,"Bladder","SYMPK","Q92797;SYMPK_HUMAN"
"219",0.263636363636364,"Bladder","CIT","O14578;CTRO_HUMAN"
"220",-0.141382868937048,"Bladder","SNRNP200","O75643;U520_HUMAN"
"221",0.252941176470588,"Bladder","SFSWAP","Q12872;SFSWA_HUMAN"
"222",0.456043956043956,"Bladder","UMPS","P11172;UMPS_HUMAN"
"223",0.235714285714286,"Bladder","BAZ2A","Q9UIF9;BAZ2A_HUMAN"
"224",0.309090909090909,"Bladder","WASL","O00401;WASL_HUMAN"
"225",0.237762237762238,"Bladder","UBE2O","Q9C0C9;UBE2O_HUMAN"
"226",0.0918472652218782,"Bladder","SPTAN1","Q13813;SPTN1_HUMAN"
"227",0.0691434468524252,"Bladder","GCN1","Q92616;GCN1_HUMAN"
"228",0.30030959752322,"Bladder","RPL14","P50914;RL14_HUMAN"
"229",0.192982456140351,"Bladder","ARHGEF2","Q92974;ARHG2_HUMAN"
"230",0.516483516483516,"Bladder","PKP2","Q99959;PKP2_HUMAN"
"231",0.457142857142857,"Bladder","ALDH16A1","Q8IZ83;A16A1_HUMAN"
"232",0.318681318681319,"Bladder","POLR1A","O95602;RPA1_HUMAN"
"233",0.708978328173375,"Bladder","DNAJC3","Q13217;DNJC3_HUMAN"
"234",0.162022703818369,"Bladder","HUWE1","Q7Z6Z7;HUWE1_HUMAN"
"235",0.197802197802198,"Bladder","KIF2A","O00139;KIF2A_HUMAN"
"236",0.594405594405594,"Bladder","DCTPP1","Q9H773;DCTP1_HUMAN"
"237",0.0361197110423117,"Bladder","RPS25","P62851;RS25_HUMAN"
"238",-0.0892857142857143,"Bladder","DST","Q03001;DYST_HUMAN"
"239",0.618181818181818,"Bladder","PAK4","O96013;PAK4_HUMAN"
"240",-0.146853146853147,"Bladder","KIAA0319L","Q8IZA0;K319L_HUMAN"
"241",0.482517482517483,"Bladder","DIMT1","Q9UNQ2;DIM1_HUMAN"
"242",-0.184726522187822,"Bladder","PRKDC","P78527;PRKDC_HUMAN"
"243",0.521155830753354,"Bladder","AIFM1","O95831;AIFM1_HUMAN"
"244",0.131062951496388,"Bladder","EIF4G1","Q04637;IF4G1_HUMAN"
"245",0.764285714285714,"Bladder","LRP1","Q07954;LRP1_HUMAN"
"246",0.0769230769230769,"Bladder","GIGYF2","Q6Y7W6;GGYF2_HUMAN"
"247",0.777089783281734,"Bladder","HADHB","P55084;ECHB_HUMAN"
"248",0.445454545454545,"Bladder","TUBB6","Q9BUF5;TBB6_HUMAN"
"249",0.897058823529412,"Bladder","WFS1","O76024;WFS1_HUMAN"
"250",0.77296181630547,"Bladder","ALDH18A1","P54886;P5CS_HUMAN"
"251",0.855521155830753,"Bladder","IMMT","Q16891;MIC60_HUMAN"
"252",0.523219814241486,"Bladder","CTNNB1","P35222;CTNB1_HUMAN"
"253",0.558823529411765,"Bladder","JUP","P14923;PLAK_HUMAN"
"254",0.473684210526316,"Bladder","ANXA1","P04083;ANXA1_HUMAN"
"255",0.0257997936016512,"Bladder","ABCF1","Q8NE71;ABCF1_HUMAN"
"256",0.153766769865841,"Bladder","TMOD3","Q9NYL9;TMOD3_HUMAN"
"257",0.736263736263736,"Bladder","ACAA2","P42765;THIM_HUMAN"
"258",-0.207430340557276,"Bladder","PSMA2","P25787;PSA2_HUMAN"
"259",0.0980392156862745,"Bladder","GATAD2B","Q8WXI9;P66B_HUMAN"
"260",0.463636363636364,"Bladder","RECQL","P46063;RECQ1_HUMAN"
"261",0.690402476780186,"Bladder","CYC1","P08574;CY1_HUMAN"
"262",-0.0381836945304438,"Bladder","FTSJ3","Q8IY81;SPB1_HUMAN"
"263",0.700722394220846,"Bladder","HYOU1","Q9Y4L1;HYOU1_HUMAN"
"264",-0.510489510489511,"Bladder","CDK9","P50750;CDK9_HUMAN"
"265",0.226373626373626,"Bladder","STK24","Q9Y6E0;STK24_HUMAN"
"266",0.739285714285714,"Bladder","LYN","P07948;LYN_HUMAN"
"267",0.190918472652219,"Bladder","NDUFS3","O75489;NDUS3_HUMAN"
"268",0.354545454545455,"Bladder","CEBPB","P17676;CEBPB_HUMAN"
"269",0.0629514963880289,"Bladder","TCOF1","Q13428;TCOF_HUMAN"
"270",0.828689370485036,"Bladder","LPCAT1","Q8NF37;PCAT1_HUMAN"
"271",0.0835913312693498,"Bladder","ACIN1","Q9UKV3;ACINU_HUMAN"
"272",-0.021671826625387,"Bladder","DDX27","Q96GQ7;DDX27_HUMAN"
"273",0.507352941176471,"Bladder","NPTN","Q9Y639;NPTN_HUMAN"
"274",0.641176470588235,"Bladder","GCDH","Q92947;GCDH_HUMAN"
"275",0.552941176470588,"Bladder","PPA1","Q15181;IPYR_HUMAN"
"276",0.192982456140351,"Bladder","NONO","Q15233;NONO_HUMAN"
"277",0.345717234262126,"Bladder","NUP214","P35658;NU214_HUMAN"
"278",0.434468524251806,"Bladder","DDOST","P39656;OST48_HUMAN"
"279",0.153846153846154,"Bladder","UBAP2","Q5T6F2;UBAP2_HUMAN"
"280",-0.154545454545455,"Bladder","MEAF6","Q9HAF1;EAF6_HUMAN"
"281",0.397316821465428,"Bladder","NUP155","O75694;NU155_HUMAN"
"282",0.569230769230769,"Bladder","PYM1","Q9BRP8;PYM1_HUMAN"
"283",0.065015479876161,"Bladder","SON","P18583;SON_HUMAN"
"284",0.409700722394221,"Bladder","TALDO1","P37837;TALDO_HUMAN"
"285",-0.021671826625387,"Bladder","TRA2B","P62995;TRA2B_HUMAN"
"286",0.314757481940144,"Bladder","ALDOA","P04075;ALDOA_HUMAN"
"287",-0.21078431372549,"Bladder","NFYC","Q13952;NFYC_HUMAN"
"288",0.468531468531469,"Bladder","ETFDH","Q16134;ETFD_HUMAN"
"289",0.157894736842105,"Bladder","RPL32","P62910;RL32_HUMAN"
"290",0.477941176470588,"Bladder","HK1","P19367;HXK1_HUMAN"
"291",0.483516483516484,"Bladder","HK2","P52789;HXK2_HUMAN"
"292",0.657342657342657,"Bladder","LAMB2","P55268;LAMB2_HUMAN"
"293",0.565934065934066,"Bladder","HSPBP1","Q9NZL4;HPBP1_HUMAN"
"294",0.456043956043956,"Bladder","REPS1","Q96D71;REPS1_HUMAN"
"295",0.277605779153767,"Bladder","NCLN","Q969V3;NCLN_HUMAN"
"296",0.446852425180599,"Bladder","PHB2","Q99623;PHB2_HUMAN"
"297",0.795665634674923,"Bladder","LAMB1","P07942;LAMB1_HUMAN"
"298",0.361764705882353,"Bladder","CSNK1A1","P48729;KC1A_HUMAN"
"299",-0.0808823529411765,"Bladder","PBRM1","Q86U86;PB1_HUMAN"
"300",0.929824561403509,"Bladder","FAM162A","Q96A26;F162A_HUMAN"
"301",0.748194014447884,"Bladder","HMGCL","P35914;HMGCL_HUMAN"
"302",0.609907120743034,"Bladder","NSF","P46459;NSF_HUMAN"
"303",0.746130030959752,"Bladder","FUBP3","Q96I24;FUBP3_HUMAN"
"304",-0.197110423116615,"Bladder","EIF4B","P23588;IF4B_HUMAN"
"305",0.3890608875129,"Bladder","AGPS","O00116;ADAS_HUMAN"
"306",0.394117647058824,"Bladder","ACOT7","O00154;BACH_HUMAN"
"307",0.279669762641899,"Bladder","DDRGK1","Q96HY6;DDRGK_HUMAN"
"308",0.2,"Bladder","TUBGCP2","Q9BSJ2;GCP2_HUMAN"
"309",0.240454076367389,"Bladder","MANF","P55145;MANF_HUMAN"
"310",0.570691434468524,"Bladder","PRKAR2A","P13861;KAP2_HUMAN"
"311",0.624355005159959,"Bladder","CHAMP1","Q96JM3;CHAP1_HUMAN"
"312",0.7,"Bladder","DMAC2L","Q99766;ATP5S_HUMAN"
"313",0.596428571428571,"Bladder","ANXA4","P09525;ANXA4_HUMAN"
"314",0.318885448916409,"Bladder","SUPT16H","Q9Y5B9;SP16H_HUMAN"
"315",0.362637362637363,"Bladder","GOLGA3","Q08378;GOGA3_HUMAN"
"316",0.810113519091847,"Bladder","MBOAT7","Q96N66;MBOA7_HUMAN"
"317",0.531475748194014,"Bladder","DBT","P11182;ODB2_HUMAN"
"318",0.682146542827657,"Bladder","INF2","Q27J81;INF2_HUMAN"
"319",0.719298245614035,"Bladder","TOP2B","Q02880;TOP2B_HUMAN"
"320",0.585139318885449,"Bladder","PDIA3","P30101;PDIA3_HUMAN"
"321",0.688338493292054,"Bladder","MYOF","Q9NZM1;MYOF_HUMAN"
"322",0.162022703818369,"Bladder","SRRM1","Q8IYB3;SRRM1_HUMAN"
"323",0.207430340557276,"Bladder","SEL1L","Q9UBV2;SE1L1_HUMAN"
"324",0.686274509803922,"Bladder","SCAMP2","O15127;SCAM2_HUMAN"
"325",0.692857142857143,"Bladder","PKP3","Q9Y446;PKP3_HUMAN"
"326",-0.0769230769230769,"Bladder","UBR5","O95071;UBR5_HUMAN"
"327",-0.175824175824176,"Bladder","POLE3","Q9NRF9;DPOE3_HUMAN"
"328",-0.214285714285714,"Bladder","BRD4","O60885;BRD4_HUMAN"
"329",0.340659340659341,"Bladder","SGPL1","O95470;SGPL1_HUMAN"
"330",0.847265221878225,"Bladder","DSG2","Q14126;DSG2_HUMAN"
"331",0.509803921568628,"Bladder","STRAP","Q9Y3F4;STRAP_HUMAN"
"332",0.527272727272727,"Bladder","TRMT6","Q9UJA5;TRM6_HUMAN"
"333",0.620227038183695,"Bladder","PDIA6","Q15084;PDIA6_HUMAN"
"334",0.384615384615385,"Bladder","PPP1R13L","Q8WUF5;IASPP_HUMAN"
"335",0.318681318681319,"Bladder","TMF1","P82094;TMF1_HUMAN"
"336",-0.0147058823529412,"Bladder","OGT","O15294;OGT1_HUMAN"
"337",0.752321981424149,"Bladder","MCCC2","Q9HCC0;MCCB_HUMAN"
"338",0.5,"Bladder","AKAP12","Q02952;AKA12_HUMAN"
"339",0.317647058823529,"Bladder","GLE1","Q53GS7;GLE1_HUMAN"
"340",0.545923632610939,"Bladder","SMC1A","Q14683;SMC1A_HUMAN"
"341",-0.065015479876161,"Bladder","NUP107","P57740;NU107_HUMAN"
"342",0.604395604395604,"Bladder","DNAJC7","Q99615;DNJC7_HUMAN"
"343",0.256965944272446,"Bladder","BYSL","Q13895;BYST_HUMAN"
"344",0.178534571723426,"Bladder","PDIA4","P13667;PDIA4_HUMAN"
